,PickedData1,
1063.83149606299,0.00710900473933651,
1063.87874015748,0.00236966824644558,
1063.92598425197,0.00947867298578209,
1063.97322834646,0.00236966824644558,
1064.02047244095,0.00473933649289093,
1064.06771653543,0.00947867298578209,
1064.11023622047,0.00947867298578209,
1064.15275590551,0.00947867298578209,
1064.1905511811,0.00473933649289093,
1064.22362204724,0.014218009478673,
1064.26141732284,0.0165876777251186,
1064.29921259843,0.014218009478673,
1064.31811023622,0.028436018957346,
1064.33228346457,0.0521327014218009,
1064.34645669291,0.075829383886256,
1064.35118110236,0.0995260663507109,
1064.35590551181,0.123222748815166,
1064.36062992126,0.146919431279621,
1064.36535433071,0.170616113744076,
1064.37007874016,0.194312796208531,
1064.37480314961,0.218009478672986,
1064.37952755906,0.289099526066351,
1064.37952755906,0.241706161137441,
1064.3842519685,0.336492890995261,
1064.3842519685,0.265402843601896,
1064.38897637795,0.407582938388626,
1064.38897637795,0.360189573459716,
1064.38897637795,0.312796208530806,
1064.3937007874,0.454976303317536,
1064.3937007874,0.431279620853081,
1064.3937007874,0.383886255924171,
1064.39842519685,0.502369668246446,
1064.39842519685,0.478672985781991,
1064.4031496063,0.549763033175355,
1064.4031496063,0.526066350710901,
1064.40787401575,0.597156398104265,
1064.40787401575,0.57345971563981,
1064.4125984252,0.644549763033175,
1064.4125984252,0.62085308056872,
1064.41732283465,0.691943127962085,
1064.41732283465,0.66824644549763,
1064.42204724409,0.739336492890995,
1064.42204724409,0.71563981042654,
1064.42677165354,0.786729857819905,
1064.42677165354,0.76303317535545,
1064.43149606299,0.834123222748815,
1064.43149606299,0.81042654028436,
1064.43622047244,0.881516587677725,
1064.43622047244,0.85781990521327,
1064.44094488189,0.928909952606635,
1064.44094488189,0.90521327014218,
1064.44566929134,0.95260663507109,
1064.45039370079,0.976303317535545,
1064.45984251969,0.997630331753555,
1064.46929133858,0.981042654028436,
1064.48346456693,0.959715639810427,
1064.48818897638,0.936018957345972,
1064.49291338583,0.912322274881517,
1064.49763779528,0.864928909952607,
1064.49763779528,0.888625592417062,
1064.50236220472,0.841232227488152,
1064.50708661417,0.817535545023697,
1064.51181102362,0.770142180094787,
1064.51181102362,0.793838862559242,
1064.51653543307,0.746445497630332,
1064.52125984252,0.722748815165877,
1064.52598425197,0.699052132701422,
1064.53070866142,0.675355450236967,
1064.54015748032,0.627962085308057,
1064.54015748032,0.651658767772512,
1064.55433070866,0.580568720379147,
1064.55433070866,0.604265402843602,
1064.56850393701,0.561611374407583,
1064.60157480315,0.554502369668247,
1064.62047244095,0.540284360189573,
1064.64409448819,0.495260663507109,
1064.64409448819,0.518957345971564,
1064.64881889764,0.471563981042654,
1064.65354330709,0.447867298578199,
1064.66299212598,0.424170616113744,
1064.66771653543,0.400473933649289,
1064.67244094488,0.353080568720379,
1064.67244094488,0.376777251184834,
1064.67716535433,0.329383886255924,
1064.68661417323,0.305687203791469,
1064.69606299213,0.281990521327014,
1064.70078740158,0.258293838862559,
1064.70551181102,0.234597156398104,
1064.71023622047,0.210900473933649,
1064.71496062992,0.187203791469194,
1064.72440944882,0.163507109004739,
1064.73858267717,0.139810426540284,
1064.74330708661,0.116113744075829,
1064.75748031496,0.0924170616113744,
1064.78110236221,0.0687203791469195,
1064.8,0.04739336492891,
1064.82834645669,0.0355450236966826,
1064.86141732283,0.0236966824644549,
1064.89921259843,0.0165876777251186,
1064.93228346457,0.00947867298578209,
1064.97007874016,0.00710900473933651,
1065.01732283465,0.00473933649289093,
1065.06456692913,0.00473933649289093,
1065.11181102362,0.00710900473933651,
1065.14960629921,0.0118483412322274,
1065.19212598425,0.00236966824644558,
1065.23937007874,0.00710900473933651,
1065.27244094488,0.00236966824644558,
1065.31968503937,0.00236966824644558,
1065.33858267717,0.0213270142180095,
